מקור   ,סיווג          ,תאריך רכישה ,פעולה                   ,סכום חיוב      ,הערות I                                     ,הערות II          ,הערות III,transactionId
2347,קניות בית      ,27/05/2024,ניצת הדובדבן כפר סבא    ,318.38,                                            ,                  ,,831
7524,חוגים          ,27/05/2024,העברה בBIT              ,180,                                            ,                  ,,832
7524,חשבונות        ,27/05/2024,המוסד לביטוח לאומי      ,60,                                            ,                  ,,833
7524,קניות בית      ,27/05/2024,שוק קט כפר סירקין       ,122,                                            ,                  ,,834
7524,מתנות ותרומות  ,27/05/2024,שקוף - העין השביעית     ,18,                                            ,                  ,,835
667127,לא לסכימה      ,27/05/2024,ישראכרט                 ,129.9,                                            ,                  ,,836
2347,רכב ותחבורה    ,28/05/2024,"אפי נכסים בע""מ       ",20,                                            ,                  ,,837
2347,בזבוזים        ,28/05/2024,פיצה USA                ,85,                                            ,                  ,,838
2347,קניות בית      ,28/05/2024,בי דראגסטורס אסותא ר    ,311.47,                                            ,                  ,,839
2347,קניות בית      ,28/05/2024,עברית חנות ספרים  20    ,29,                                            ,                  ,,840
7524,קניות בית      ,28/05/2024,טבע הגליל - קוסמטיקה    ,77,                                            ,                  ,,841
7524,ביטוח          ,28/05/2024,הפניקס ביטוח            ,540,                                            ,                  ,,842
667127,לא לסכימה      ,28/05/2024,ישראכרט                 ,29.9,                                            ,                  ,,843
667127,חשבונות        ,28/05/2024,העב' לאחר-נייד          ,"5,499.00",לטובת: פרישקולניק רואי חשבון עבור: דוחות מס ,                  ,,844
2347,תם             ,29/05/2024,העברה בBIT              ,165,                                            ,                  ,,845
2347,קניות בית      ,29/05/2024,עברית חנות ספרים  20    ,47.2,                                            ,                  ,,846
7524,בזבוזים        ,29/05/2024,פיצה USA                ,75,                                            ,                  ,,847
7524,בזבוזים        ,29/05/2024,WOLT                    ,79,                                            ,                  ,,848
2347,קניות בית      ,30/05/2024,עברית חנות ספרים  20    ,28,                                            ,                  ,,849
2347,קניות בית      ,30/05/2024,שוק קט כפר סירקין       ,81.81,                                            ,                  ,,850
7524,חשבונות        ,30/05/2024,מ.א דרום השרון ארנונ    ,1985.8,                                            ,                  ,,851
667127,בריאות         ,30/05/2024,העב' לאחר-נייד          ,330,לטובת: צילה אבני                            ,                  ,,852
2347,חופשות ונסיעות ,31/05/2024,AIRBNB   HMJTWA5KEH     ,4297.21,                                            ,                  ,,853
2347,קניות בית      ,31/05/2024,עברית חנות ספרים  20    ,28,                                            ,                  ,,854
2347,קניות בית      ,31/05/2024,סופר פארם הדר גנים פ    ,102.8,                                            ,                  ,,855
7524,קניות בית      ,31/05/2024,בגדדי שאול וארז         ,196.8,                                            ,                  ,,856
7524,קניות בית      ,31/05/2024,המעדניה                 ,200,                                            ,                  ,,857
7524,קניות בית      ,31/05/2024,משק רועים               ,266.89,                                            ,                  ,,858
667127,משיכת מזומן    ,31/05/2024,משיכה מבנקט             ,"1,500.00",                                            ,                  ,,859
